from;to;type;endDate
/faq/planilla-de-pedidos;https://help.vtex.com/tutorial/planilla-de-pedidos;permanent;
/es/v4/docs/lista-de-promociones--5LtzPm5kQdRVI06KXHE0Td;https://help.vtex.com/es/tutorial/lista-de-promociones-beta--4yB7nNdliiFxBTXE19GCIi;permanent;
/v4/docs/explained-search--4P0WPIz2XN5U4iXXMfYBet;https://help.vtex.com/en/tracks/vtex-intelligent-search--19wrbB7nEQcmwzDPl1l4Cb/4uSFqyJVCMVMIvVrtz3lxZ;permanent;
/tutorial/informacoes-dentro-do-pedido--tutorials_197;https://help.vtex.com/pt/tutorial/pagina-de-detalhes-do-pedido--2Y75n54Cc9VizrlG1N6ZNl;permanent;
/faq/que-es-vtex-io;https://help.vtex.com/tutorial/que-es-vtex-io;permanent;
/tutorial/configuring-payment-gateways;https://help.vtex.com/en/tutorial/afiliacoes-de-gateway;permanent;
/faq/cuales-son-los-requisitos-previos-para-empezar-a-desarrollar-en-el-vtex-io;https://help.vtex.com/tutorial/cuales-son-los-requisitos-previos-para-empezar-a-desarrollar-en-el-vtex-io;permanent;
/tutorial/configurar-pago-con-paypalcp--2nGiQVk3YKvOAu8Zg4RKFr;https://help.vtex.com/es/tutorial/configurar-pago-con-paypalv2;permanent;
/tracks/instore-setting-up--zav76TFEZlAjnyBVL5tRc/12GPLA7JdjXEZFLV3HokZU;https://help.vtex.com/en/tracks/instore-using-the-app--4BYzQIwyOHvnmnCYQgLzdr/5UeqJA3sHp5goJacvHwPoS;permanent;
/faq/o-que-e-uma-app;https://help.vtex.com/tutorial/o-que-e-uma-app;permanent;
/tutorial/comecando-a-trabalhar-no-master-data-com-json-schema--6uLbweaMBGqOm44cESMkEQ;https://developers.vtex.com/vtex-rest-api/docs/starting-to-work-on-master-data-with-json-schema;permanent;
/faq/configurar-el-tiempo-de-espera-para-cancelar-el-pedido;https://help.vtex.com/tutorial/configurar-el-tiempo-de-espera-para-cancelar-el-pedido;permanent;
/es/tutorial/overview;https://help.vtex.com/es/tutorial/fulfillment-y-logistica-en-vtex--53udnvI5eBy8DKo8FOjMoP;permanent;
/tracks/vtex-intelligent-search--19wrbB7nEQcmwzDPl1l4Cb/4uSFqyJVCMVMIvVrtz3lxZ;https://help.vtex.com/en/tutorial/explained-search--F2yxrRvTNt4aEZGC7HV65;permanent;
/announcements/estoque-e-entrega-entenda-o-que-mudou-na-aba-gerenciar-inventario---6AKTFKEdVMyjRdDBv3vGkv;https://help.vtex.com/pt/announcements/estoque-e-entrega-entenda-o-que-mudou-na-aba-gerenciar-inventario--6AKTFKEdVMyjRdDBv3vGkv;permanent;
/tutorial/information-about-chile-custom-payments--1cqQ4JInfcOGUwW2aMOoEK;https://help.vtex.com/en/tutorial/list-of-payment-providers-by-country--2im3BEGXxSAcRuxEaIHPvp;permanent;
/faq/determinar-el-minimo-de-items-en-un-carrito;https://help.vtex.com/tutorial/determinar-el-minimo-de-items-en-un-carrito;permanent;
/tutorial/product-registration-fields--4dYXWIK3zyS8IceKkQseke;https://help.vtex.com/en/tutorial/adding-or-editing-products--29IkdEu6GofCFlltsZh2H8;permanent;
/tutorial/tabela-de-status-de-pedidos-oms--frequentlyAskedQuestions_773;https://help.vtex.com/pt/tutorial/fluxo-e-status-de-pedidos--tutorials_196#tabela-de-status-de-pedidos;permanent;
/tutorial/cadastrar-o-preco-base-de-um-produto--4S9SbPWlVmOAAWO6yq8wE6;https://help.vtex.com/pt/tracks/precos-101--6f8pwCns3PJHqMvQSugNfP/P99EjtrlRHk92Q8qDPq29;permanent;
/tutorial/como-configuro-a-captacao-de-newsletter-pelo-master-data--frequentlyAskedQuestions_1816;https://developers.vtex.com/vtex-rest-api/docs/newsletter-inclusion-master-data-v1;permanent;
/tutorial/how-do-i-configure-the-inclusion-of-newsletter-in-master-data--frequentlyAskedQuestions_1816;https://developers.vtex.com/vtex-rest-api/docs/newsletter-inclusion-master-data-v1;permanent;
/tutorial/como-configuro-la-captacion-de-newsletter-por-el-master-data--frequentlyAskedQuestions_1816;https://developers.vtex.com/vtex-rest-api/docs/newsletter-inclusion-master-data-v1;permanent;
/tutorial/como-configuro-a-captacao-de-newsletter-pelo-master-data;https://developers.vtex.com/vtex-rest-api/docs/newsletter-inclusion-master-data-v1;permanent;
/tutorial/how-do-i-configure-the-inclusion-of-newsletter-in-master-data;https://developers.vtex.com/vtex-rest-api/docs/newsletter-inclusion-master-data-v1;permanent;
/tutorial/como-configuro-la-captacion-de-newsletter-por-el-master-data;https://developers.vtex.com/vtex-rest-api/docs/newsletter-inclusion-master-data-v1;permanent;
/faq/determinar-el-valor-minimo-total-en-un-carrito;https://help.vtex.com/tutorial/determinar-el-valor-minimo-total-en-un-carrito;permanent;
/subcategory/financial-operations-vtex-payment%20--6J5IKNejpAxT1Ie23PDtU4;https://help.vtex.com/pt/announcements/descontinuacao-do-vtex-payment--6BkEnyzVDHfoKwPnGdqBRs;permanent;
/tutorial/nova-integracao-google-shopping-api--tutorials_7034;https://help.vtex.com/pt/tracks/configurar-integracao-com-o-google-shopping--25Sl7iOqq58PGfVfTAo8Xw;permanent;
